_id,bio,college,country,createdAt,dob,email,face_detection_probabilities,gender,height,insta_username,interests,is_habit_drink,is_habit_smoke,is_verified,mobile,name,status,type,updatedAt,verified_at,what_to_find,who_to_date,is_subscribed,age
15,Just want to do normal friendship ,"[""Indian Institute of Technology(IIT), Delhi""]",IN,604.7724741075,2001-07-21 00:00:00,9150000000@get.idyll,,M,163.0,,"[""Writing"",""Art & Craft"",""Reels"",""Cricket"",""Running""]",N,N,False,9150000000,Raghav ,False,U,5.724080349305556,,C,F,True,22.0
16,Q,"[""JNU""]",IN,604.5819157741666,2002-03-24 00:00:00,9160000000@get.idyll,,M,1.0,,"[""Writing"",""Football"",""Folk & Acoustic"",""K-drama"",""Cats""]",N,S,False,9160000000,Semka,False,U,7.668708555324074,,NS,A,,21.0
17,"Insta - ayushrajput237
I am someone whom you should like","[""Jawaharlal Nehru University""]",IN,604.5518207741667,2004-12-20 00:00:00,9170000000@get.idyll,[],M,176.0,,"[""Cricket"",""Badminton"",""Comedy"",""Open-Minded"",""Festivals""]",N,N,True,9170000000,Ayush Anand ,True,U,17.033248740509258,17.033249170104167,NS,F,True,19.0
18,Bhjjjjnnnj,"[""Xgjj""]",IN,604.2638991075,1967-02-09 00:00:00,9180000000@get.idyll,,M,90.0,,[],O,O,False,9180000000,Yyyyy,False,U,5.723873752083334,,C,NB,,56.0
19,,[],IN,603.9588129963889,,9190000000@get.idyll,,M,,,[],,,False,9190000000,Mariziio ,False,U,5.723773289120371,,,,,
20,"Love driving ,businessman ,gym lover","[""Bansal traders""]",IN,603.0040338297222,1996-05-11 00:00:00,9200000000@get.idyll,,M,5.8,,"[""Gym"",""Camping"",""Backpacking"",""Mountains"",""Swimming""]",S,S,False,9200000000,Varun,True,U,25.123150916435186,,C,F,True,27.0
21,Nothing last forever..... ,"[""JNU ""]",IN,602.3926354963888,2001-02-10 00:00:00,9210000000@get.idyll,[],M,172.0,,"[""Art & Craft"",""Writing"",""Basketball"",""Biryani"",""Whiskey""]",O,N,False,9210000000,Haidar,False,U,5.723338184953704,,R,F,True,22.0
22,🌷,"[""Jnu""]",IN,602.0318432741667,2003-03-05 00:00:00,9220000000@get.idyll,,F,152.0,,"[""Singing"",""Design""]",N,N,False,9220000000,Riya,True,U,25.080089134027777,,F,A,True,20.0
23,no,"[""Jawaharlal Nehru University""]",IN,601.7344946630556,2003-01-18 00:00:00,9230000000@get.idyll,,F,,,"[""Singing"",""Clubs"",""Sci-fi"",""Wine"",""Foodie""]",S,N,False,9230000000,Himadri Poddar,False,U,5.719792768287037,,NS,M,True,20.0
24,,[],IN,601.2683466075,,9240000000@get.idyll,,M,,,[],,,False,9240000000,John Smith ,False,U,5.720272860879629,,,,,
25,"Born and brought up in BIHAR
Currently living in Delhi
Studying in the most controversial university of this country.
Hell Yeahhh...","[""JNU""]",IN,600.6208557741667,1998-02-28 00:00:00,9250000000@get.idyll,,M,5.8,,"[""Singing"",""Writing"",""Photography"",""Yoga"",""Gym""]",S,S,False,9250000000,aman chain,False,U,5.72002022199074,,NS,F,True,25.0
26,... ,"[""Jawaharlal Nehru University""]",IN,600.5814046630555,2001-11-22 00:00:00,9260000000@get.idyll,,M,178.0,,"[""Yoga"",""Gym"",""Cooking"",""Biryani"",""Coffee""]",S,N,False,9260000000,Sankalp ,True,U,22.343291865509258,,NS,F,True,22.0
27,,[],IN,600.0428582741666,,9270000000@get.idyll,,M,,,[],,,False,9270000000,Pallab Chakraborty ,False,U,5.71965485162037,,,,,
28,Student Activist,"[""DU""]",IN,599.2516713297222,1995-04-06 00:00:00,9280000000@get.idyll,,M,5.7,,[],N,N,False,9280000000,Naveen,False,U,5.719554099305555,,F,F,True,28.0
29,Undescribable,"[""JNU""]",IN,598.8403779963888,2000-02-07 00:00:00,9290000000@get.idyll,,M,181.0,,"[""LGBTQIA+ ally"",""Writing""]",S,N,False,9290000000,Vinay,True,U,24.949743161805557,,C,F,True,23.0
30,XYZ,"[""Jd birla""]",IN,598.7771910519444,1997-09-23 00:00:00,9300000000@get.idyll,,F,,,[],S,N,False,9300000000,Nikita ,False,U,5.718175592361111,,F,M,True,26.0
31,Very boring person i am,"[""Jawaharlal Nehru University""]",IN,598.6523624408334,2001-12-22 00:00:00,9310000000@get.idyll,"[89.75738286972046,69.68415975570679,80.83032369613647,58.04235339164734]",M,182.0,,"[""Biryani"",""Badminton"",""Volleyball"",""Whiskey"",""Anime""]",O,O,True,9310000000,Abhinav,True,U,2.985144353935185,9.42199320945602,CON,F,True,22.0
32,Boy ,"[""Jnu""]",IN,598.3931413297222,2000-09-14 00:00:00,9320000000@get.idyll,,M,,,"[""Writing"",""Cricket"",""Gym"",""Cooking"",""Ambitions""]",S,S,False,9320000000,Akshay ,True,U,24.922270684953705,,NS,F,True,23.0
33,"Hey, always happy is the key of success","[""JNU""]",IN,598.2485004963889,2001-02-02 00:00:00,9330000000@get.idyll,[],M,167.0,,"[""Open-Minded"",""Romantic"",""Romance"",""Vegetarian"",""Festivals""]",N,N,False,9330000000,Prakash,True,U,24.922452189583332,,R,F,True,22.0
34,I am a enhancer talking more and listening the most about others biography interests me a lot but not to talk about myself extrovert know the many things but not able to show bcz of some reason,"[""JNU ""]",IN,596.6196074408333,2001-01-21 00:00:00,9340000000@get.idyll,,M,5.8,,"[""Badminton"",""Reels"",""Dancing"",""Photography"",""Basketball""]",O,S,False,9340000000,Idk,False,U,7.6672499094907405,,F,F,True,22.0
35,,"[""Jawaharlal Nehru University""]",IN,595.3757821630555,1997-12-31 18:30:00,9350000000@get.idyll,,F,,,"[""Vegetarian"",""Singing"",""Romantic"",""Design""]",S,O,False,9350000000,Aakriti Karn,True,U,24.80732155300926,,F,M,True,26.0
36,,"[""Jawaharlal Nehru University""]",IN,595.3755679963889,2000-12-31 18:30:00,9360000000@get.idyll,,F,,,"[""Romantic"",""Romance"",""Reels"",""Singing""]",N,O,False,9360000000,Aarushi Nathani,True,U,24.80731127523148,,CON,M,True,23.0
37,,"[""Jawaharlal Nehru University""]",IN,595.3753452186111,2001-12-31 18:30:00,9370000000@get.idyll,,F,,,"[""Romantic"",""Art & Craft"",""Dancing"",""Open-Minded""]",S,O,False,9370000000,Aastha Shaw,True,U,24.80730350902778,,NS,M,True,22.0
38,,"[""Jawaharlal Nehru University""]",IN,595.3751549408333,2000-12-31 18:30:00,9380000000@get.idyll,,F,,,"[""Vegetarian"",""Romance"",""Festivals"",""Design""]",S,S,False,9380000000,Abhita BalaKrishnan,True,U,24.807295615509258,,R,M,True,23.0
39,,"[""Jawaharlal Nehru University""]",IN,595.3749682741667,2000-12-31 18:30:00,9390000000@get.idyll,,F,,,"[""Singing"",""Design"",""Dancing"",""Writing""]",S,S,False,9390000000,Akshitah Chaturvedi,True,U,24.80728777986111,,CON,M,True,23.0
40,,"[""Jawaharlal Nehru University""]",IN,595.3747777186111,1999-12-31 18:30:00,9400000000@get.idyll,,F,,,"[""Singing"",""Festivals"",""Art & Craft"",""Vegetarian""]",N,N,False,9400000000,Alka Banerjee,True,U,24.807279747453705,,C,M,True,24.0
41,,"[""Jawaharlal Nehru University""]",IN,595.3745829963889,1998-12-31 18:30:00,9410000000@get.idyll,,F,,,"[""Design"",""Writing"",""Reels"",""Festivals""]",S,N,False,9410000000,Anushka Kohle,True,U,24.807271807638887,,F,M,True,25.0
42,,"[""Jawaharlal Nehru University""]",IN,595.3743971630555,1997-12-31 18:30:00,9420000000@get.idyll,,F,,,"[""Romantic"",""Romance"",""Reels"",""Art & Craft""]",O,O,False,9420000000,Chhavi Bhatt,True,U,24.80726405300926,,R,M,True,26.0
43,,"[""Jawaharlal Nehru University""]",IN,595.3742093852778,1999-12-31 18:30:00,9430000000@get.idyll,,F,,,"[""Reels"",""Festivals"",""Dancing"",""Design""]",O,N,False,9430000000,Deepti katrawat,True,U,24.807256194212965,,C,M,True,24.0
44,,"[""Jawaharlal Nehru University""]",IN,595.3740232741667,2000-12-31 18:30:00,9440000000@get.idyll,,F,,,"[""Design"",""Vegetarian"",""Romantic"",""Singing""]",S,N,False,9440000000,Divyanshi Krishna,True,U,24.807248358564816,,F,M,True,23.0
45,,"[""Jawaharlal Nehru University""]",IN,595.3738321630556,1999-12-31 18:30:00,9450000000@get.idyll,,F,,,"[""Singing"",""Design"",""Writing"",""Art & Craft""]",S,S,False,9450000000,Emily Jane,True,U,24.80724045347222,,F,M,True,24.0
46,,"[""Jawaharlal Nehru University""]",IN,595.3736449408333,2000-12-31 18:30:00,9460000000@get.idyll,,F,,,"[""Singing"",""Design"",""Romantic"",""Art & Craft""]",N,S,False,9460000000,Gauri rawat,True,U,24.807232502083334,,R,M,True,23.0
47,,"[""Jawaharlal Nehru University""]",IN,595.3734518852777,2000-12-31 18:30:00,9470000000@get.idyll,,F,,,"[""Festivals"",""Romantic"",""Romance"",""Vegetarian""]",O,O,False,9470000000,Gracy Mistry,True,U,24.807224654861113,,C,M,True,23.0
48,,"[""Jawaharlal Nehru University""]",IN,595.3732635519444,2000-12-31 18:30:00,9480000000@get.idyll,,F,,,"[""Romantic"",""Design"",""Writing"",""Dancing""]",N,N,False,9480000000,Heena Rajput,True,U,24.80721656458333,,R,M,True,23.0
49,,"[""Jawaharlal Nehru University""]",IN,595.3730710519444,2000-12-31 18:30:00,9490000000@get.idyll,,F,,,"[""Reels"",""Romance"",""Singing"",""Festivals""]",S,O,False,9490000000,Hima Smita,True,U,24.807208613194444,,NS,M,True,23.0
50,,"[""Jawaharlal Nehru University""]",IN,595.3728810519444,2000-12-31 18:30:00,9500000000@get.idyll,,F,,,"[""Romantic"",""Romance"",""Design"",""Dancing""]",S,N,False,9500000000,Ishita Tiwari,True,U,24.807200650231483,,R,M,True,23.0
51,,"[""Jawaharlal Nehru University""]",IN,595.3726654963889,1999-12-31 18:30:00,9510000000@get.idyll,,F,,,"[""Romantic"",""Writing"",""Design"",""Dancing""]",N,N,False,9510000000,Jenny Roy,True,U,24.807191495138888,,C,M,True,24.0
52,,"[""Jawaharlal Nehru University""]",IN,595.372470218611,2000-12-31 18:30:00,9520000000@get.idyll,,F,,,"[""Open-Minded"",""Singing"",""Festivals"",""Writing""]",S,O,False,9520000000,Kanika negi,True,U,24.807183555324073,,R,M,True,23.0
53,,"[""Jawaharlal Nehru University""]",IN,595.3722771630555,1997-12-31 18:30:00,9530000000@get.idyll,,F,,,"[""Open-Minded"",""Reels"",""Singing"",""Festivals""]",O,N,False,9530000000,Kriti bisht,True,U,24.807175465046296,,C,M,True,26.0
54,,"[""Jawaharlal Nehru University""]",IN,595.3720854963889,2000-12-31 18:30:00,9540000000@get.idyll,,F,,,"[""Art & Craft"",""Dancing"",""Reels"",""Open-Minded""]",N,S,False,9540000000,Kritika Sharma,True,U,24.80716754837963,,R,M,True,23.0
55,,"[""Jawaharlal Nehru University""]",IN,595.3718941075,2000-12-31 18:30:00,9550000000@get.idyll,,F,,,"[""Singing"",""Dancing"",""Writing"",""Festivals""]",S,O,False,9550000000,Madhavi Gangay,True,U,24.807159782175926,,F,M,True,23.0
56,,"[""Jawaharlal Nehru University""]",IN,595.3717093852778,2000-12-31 18:30:00,9560000000@get.idyll,,F,,,"[""Writing"",""Romantic"",""Dancing"",""Design""]",S,S,False,9560000000,Mahek thakur,True,U,24.807151911805555,,C,M,True,23.0
57,,"[""Jawaharlal Nehru University""]",IN,595.3715199408333,1997-12-31 18:30:00,9570000000@get.idyll,,F,,,"[""Art & Craft"",""Dancing"",""Singing"",""Vegetarian""]",S,N,False,9570000000,Mansha Phore,True,U,24.807142953472223,,NS,M,True,26.0
58,,"[""Jawaharlal Nehru University""]",IN,595.3713024408333,1997-12-31 18:30:00,9580000000@get.idyll,,F,,,"[""Festivals"",""Art & Craft"",""Dancing"",""Romance""]",O,S,False,9580000000,Manshi Sharma,True,U,24.807134978935185,,NS,M,True,26.0
59,,"[""Jawaharlal Nehru University""]",IN,595.3711135519444,2000-12-31 18:30:00,9590000000@get.idyll,,F,,,"[""Writing"",""Dancing"",""Vegetarian"",""Reels""]",O,N,False,9590000000,Mansvi rapta,True,U,24.807127004398147,,C,M,True,23.0
60,,"[""Jawaharlal Nehru University""]",IN,595.3709199408333,1999-12-31 18:30:00,9600000000@get.idyll,,F,,,"[""Romantic"",""Singing"",""Reels"",""Writing""]",O,O,False,9600000000,mayuri patiala,True,U,24.807119029861113,,NS,M,True,24.0
61,,"[""Jawaharlal Nehru University""]",IN,595.3707288297222,2000-12-31 18:30:00,9610000000@get.idyll,,F,,,"[""Romantic"",""Singing"",""Romance"",""Writing""]",S,O,False,9610000000,Mini Khanal,True,U,24.80711095115741,,F,M,True,23.0
62,,"[""Jawaharlal Nehru University""]",IN,595.3705329963889,1998-12-31 18:30:00,9620000000@get.idyll,,F,,,"[""Singing"",""Festivals"",""Design"",""Romance""]",N,N,False,9620000000,Mishti,True,U,24.807103046064814,,CON,M,True,25.0
63,,"[""Jawaharlal Nehru University""]",IN,595.3703468852777,1998-12-31 18:30:00,9630000000@get.idyll,,F,,,"[""Romance"",""Reels"",""Design"",""Festivals""]",S,S,False,9630000000,Monika Bhattacharya,True,U,24.807091761342594,,F,M,True,25.0
64,,"[""Jawaharlal Nehru University""]",IN,595.3699066075,1998-12-31 18:30:00,9640000000@get.idyll,,F,,,"[""Dancing"",""Reels"",""Open-Minded"",""Art & Craft""]",S,N,False,9640000000,Nancy Negi,True,U,24.80706397199074,,NS,M,True,25.0
65,,"[""Jawaharlal Nehru University""]",IN,595.3690143852778,1997-12-31 18:30:00,9650000000@get.idyll,,F,,,"[""Festivals"",""Vegetarian"",""Art & Craft"",""Dancing""]",O,O,False,9650000000,Neeti Kothiyal,True,U,24.807024261342594,,C,M,True,26.0
66,,"[""Jawaharlal Nehru University""]",IN,595.3681032741666,2000-12-31 18:30:00,9660000000@get.idyll,,F,,,"[""Vegetarian"",""Art & Craft"",""Romantic"",""Open-Minded""]",O,N,False,9660000000,Neha Sandhu,True,U,24.806985013657407,,NS,M,True,23.0
67,,"[""Jawaharlal Nehru University""]",IN,595.3673054963889,1997-12-31 18:30:00,9670000000@get.idyll,,F,,,"[""Reels"",""Romance"",""Open-Minded"",""Singing""]",N,O,False,9670000000,Nidhi Singh,True,U,24.806966055324075,,F,M,True,26.0
68,,"[""Jawaharlal Nehru University""]",IN,595.3670602186111,2000-12-31 18:30:00,9680000000@get.idyll,,F,,,"[""Romance"",""Romantic"",""Festivals"",""Art & Craft""]",N,O,False,9680000000,Prerna Basra,True,U,24.80695803449074,,NS,M,True,23.0
69,,"[""Jawaharlal Nehru University""]",IN,595.3668627186111,2000-12-31 18:30:00,9690000000@get.idyll,,F,,,"[""Writing"",""Design"",""Reels"",""Dancing""]",O,O,False,9690000000,Priya Sharma,True,U,24.806950083101853,,R,M,True,23.0
70,,"[""Jawaharlal Nehru University""]",IN,595.3666743852777,1997-12-31 18:30:00,9700000000@get.idyll,,F,,,"[""Dancing"",""Writing"",""Romance"",""Reels""]",S,N,False,9700000000,Priyanshi Sri,True,U,24.80694227060185,,R,M,True,26.0
71,,"[""Jawaharlal Nehru University""]",IN,595.3664885519445,1997-12-31 18:30:00,9710000000@get.idyll,,F,,,"[""Festivals"",""Design"",""Romantic"",""Writing""]",N,N,False,9710000000,Rani Yadav,True,U,24.806934492824073,,F,M,True,26.0
72,,"[""Jawaharlal Nehru University""]",IN,595.3662918852777,2000-12-31 18:30:00,9720000000@get.idyll,,F,,,"[""Vegetarian"",""Open-Minded"",""Romantic"",""Art & Craft""]",S,N,False,9720000000,Rashmi Gupta,True,U,24.80692632152778,,C,M,True,23.0
73,,"[""Jawaharlal Nehru University""]",IN,595.3661063297222,1999-12-31 18:30:00,9730000000@get.idyll,,F,,,"[""Singing"",""Vegetarian"",""Romance"",""Dancing""]",O,S,False,9730000000,Rima Tripathi,True,U,24.80691848587963,,C,M,True,24.0
74,,"[""Jawaharlal Nehru University""]",IN,595.3659188297222,1998-12-31 18:30:00,9740000000@get.idyll,,F,,,"[""Vegetarian"",""Reels"",""Festivals"",""Singing""]",O,O,False,9740000000,Riya Tanwar,True,U,24.80690994421296,,R,M,True,25.0
75,,"[""Jawaharlal Nehru University""]",IN,595.3657138297223,1999-12-31 18:30:00,9750000000@get.idyll,,F,,,"[""Design"",""Dancing"",""Writing"",""Festivals""]",S,S,False,9750000000,Saanvi Shah,True,U,24.80690215486111,,R,M,True,24.0
76,,"[""Jawaharlal Nehru University""]",IN,595.3655243852778,1998-12-31 18:30:00,9760000000@get.idyll,,F,,,"[""Writing"",""Design"",""Open-Minded"",""Reels""]",N,S,False,9760000000,Samaira Dhar,True,U,24.806894284490742,,R,M,True,25.0
77,,"[""Jawaharlal Nehru University""]",IN,595.3653274408333,1998-12-31 18:30:00,9770000000@get.idyll,,F,,,"[""Dancing"",""Writing"",""Open-Minded"",""Romantic""]",N,N,False,9770000000,Sandhya Sahu,True,U,24.806885974305555,,R,M,True,25.0
78,,"[""Jawaharlal Nehru University""]",IN,595.3651371630556,1997-12-31 18:30:00,9780000000@get.idyll,,F,,,"[""Vegetarian"",""Open-Minded"",""Writing"",""Romantic""]",S,O,False,9780000000,Sapna reddy,True,U,24.806878022916667,,C,M,True,26.0
79,,"[""Jawaharlal Nehru University""]",IN,595.3649427186111,2000-12-31 18:30:00,9790000000@get.idyll,,F,,,"[""Singing"",""Open-Minded"",""Dancing"",""Reels""]",O,N,False,9790000000,Saumya Das,True,U,24.806870059953702,,NS,M,True,23.0
80,,"[""Jawaharlal Nehru University""]",IN,595.3647560519445,2001-12-31 18:30:00,9800000000@get.idyll,,F,,,"[""Singing"",""Reels"",""Open-Minded"",""Festivals""]",N,N,False,9800000000,Sheetal Kaul,True,U,24.80686203912037,,R,M,True,22.0
81,,"[""Jawaharlal Nehru University""]",IN,595.3645635519445,2000-12-31 18:30:00,9810000000@get.idyll,,F,,,"[""Romance"",""Vegetarian"",""Design"",""Open-Minded""]",N,S,False,9810000000,Shivani Bhatt,True,U,24.80685408773148,,CON,M,True,23.0
82,,"[""Jawaharlal Nehru University""]",IN,595.3643721630556,2000-12-31 18:30:00,9820000000@get.idyll,,F,,,"[""Dancing"",""Open-Minded"",""Romance"",""Singing""]",N,N,False,9820000000,Shristi Rawat,True,U,24.806846147916666,,R,M,True,23.0
83,,"[""Jawaharlal Nehru University""]",IN,595.3641785519444,1999-12-31 18:30:00,9830000000@get.idyll,,F,,,"[""Dancing"",""Design"",""Art & Craft"",""Reels""]",S,N,False,9830000000,Suhu Khan,True,U,24.80683794189815,,CON,M,True,24.0
84,,"[""Jawaharlal Nehru University""]",IN,595.3639688297222,2000-12-31 18:30:00,9840000000@get.idyll,,F,,,"[""Art & Craft"",""Reels"",""Singing"",""Romantic""]",O,O,False,9840000000,Sukanya jha,True,U,24.80682936550926,,CON,M,True,23.0
85,,"[""Jawaharlal Nehru University""]",IN,595.3637799408333,1999-12-31 18:30:00,9850000000@get.idyll,,F,,,"[""Reels"",""Singing"",""Dancing"",""Design""]",O,S,False,9850000000,Suman Samanta,True,U,24.806821379398148,,C,M,True,24.0
86,,"[""Jawaharlal Nehru University""]",IN,595.3635849408333,2000-12-31 18:30:00,9860000000@get.idyll,,F,,,"[""Festivals"",""Romantic"",""Romance"",""Singing""]",S,N,False,9860000000,Tripti Sonowal,True,U,24.80681340486111,,R,M,True,23.0
87,,"[""Jawaharlal Nehru University""]",IN,595.3633916075,1999-12-31 18:30:00,9870000000@get.idyll,,F,,,"[""Vegetarian"",""Writing"",""Design"",""Romantic""]",N,O,False,9870000000,Vaishali aanand,True,U,24.80680538402778,,F,M,True,24.0
88,,"[""Jawaharlal Nehru University""]",IN,595.3632041075,2000-12-31 18:30:00,9880000000@get.idyll,,F,,,"[""Vegetarian"",""Open-Minded"",""Singing"",""Art & Craft""]",N,S,False,9880000000,Vidhi chandra,True,U,24.80679746736111,,CON,M,True,23.0
89,,"[""Jawaharlal Nehru University""]",IN,595.3630104963889,1999-12-31 18:30:00,9890000000@get.idyll,,F,,,"[""Writing"",""Romantic"",""Dancing"",""Art & Craft""]",O,N,False,9890000000,Yami Yadav,True,U,24.80678948125,,CON,M,True,24.0
90,Have many things to tell u later...,"[""JNU""]",IN,592.6265416075,2003-10-19 00:00:00,9900000000@get.idyll,,M,169.0,,"[""Cricket"",""Dancing"",""Dogs"",""Mystery"",""Mountains""]",S,N,True,9900000000,Phopho,True,U,24.67725152986111,,C,F,True,20.0
91,Arey bhai kya hi likhu,"[""Maa mansha devi""]",IN,589.6498863297222,2001-11-13 00:00:00,9910000000@get.idyll,,M,179.0,,"[""Cricket"",""Badminton"",""Singing"",""Anime"",""Superhero""]",N,N,False,9910000000,Avinash yadav ,True,U,24.565038833101852,,C,F,True,22.0
92,“Naughty or nice? You decide.”,"[""Jawaharlal Nehru University""]",IN,588.4794907741667,1999-12-10 00:00:00,9920000000@get.idyll,,M,170.0,,"[""Photography"",""Festivals"",""Wine"",""Hip Hop"",""Romance""]",S,S,False,9920000000,K_Rahul,True,U,24.51216453912037,,F,F,True,24.0
93,"I am honest and trustworthy.
Even though I work seriously, I do have a good sense of humor.
I am imaginative, motivated, organized and Inquisitive

Looking for an adventure partner. You in?","[""Jawaharlal Nehru University""]",IN,585.9927057741667,2002-01-03 00:00:00,9930000000@get.idyll,[],M,165.0,,"[""Photography"",""Badminton"",""Basketball"",""Running"",""Mountains""]",N,N,True,9930000000,Nishchhal007,True,U,7.352760650231481,9.896659019641204,F,F,True,21.0
94,"Hello, I am Ayush
","[""Jawaharlal Nehru University""]",IN,585.9761954963889,2002-06-29 00:00:00,9940000000@get.idyll,"[92.9436206817627,97.01827764511108,67.23251938819885,97.85847663879395]",M,1.72,,"[""Singing"",""Photography"",""Cricket"",""Dogs"",""Cooking""]",S,N,False,9940000000,Ayush Gupta,True,U,17.98480592800926,,C,F,True,21.0
95,,"[""JNU""]",IN,583.2630782741667,2000-09-21 00:00:00,9950000000@get.idyll,,M,172.0,,[],S,S,False,9950000000,Jitendra ,False,U,5.716879527546296,,R,F,True,23.0
96,Tvryjh,"[""Jnu soe""]",IN,582.8802474408334,2002-07-03 00:00:00,9960000000@get.idyll,,M,,,[],S,N,False,9960000000,Rajkumar Yogi ,False,U,5.716799134027778,,NS,F,True,21.0
97,,[],IN,582.4484521630555,,9970000000@get.idyll,,M,,,[],,,False,9970000000,Dev,False,U,5.716712988194445,,,,,
98,Hey,"[""IIT Delhi""]",IN,581.4601935519445,2001-07-12 00:00:00,9980000000@get.idyll,,M,,,"[""Cats"",""Thriller"",""Mystery"",""Horror"",""Mountains""]",N,N,False,9980000000,Anish,True,U,24.223864053009258,,R,F,True,22.0
99,,[],IN,579.2478043852777,,9990000000@get.idyll,,,,,[],,,False,9990000000,,False,U,5.7165475136574075,,,,,
